slot_type,group,word,n,density_mean,density_median,density_p25,density_p75,curvature_mean,curvature_median,curvature_p25,curvature_p75
nouns,high,person,424,1.0289961364325433,1.0240392592608685,0.9844926842920063,1.0718559354054598,0.8944999340851352,0.8984967768192291,0.8847406804561615,0.910058856010437
nouns,high,background,274,1.1032715103081008,1.0927433581295984,1.0452527158554998,1.1623466231661899,0.8927508396823911,0.8960672318935394,0.8798814713954926,0.9078242927789688
nouns,high,actor,177,1.0758045703528212,1.0786002597980975,1.0244933220377679,1.12767507749191,0.904055444870965,0.9068266153335571,0.8969845771789551,0.916250467300415
nouns,high,artist,169,1.0644060988339927,1.0662742807450767,1.0238013987605374,1.1061173409827756,0.9045282937365876,0.9063136577606201,0.898266613483429,0.9159470200538635
nouns,high,view,163,1.0618836846700475,1.0561638198022598,1.0116056106599154,1.099123666762528,0.8967412849145433,0.8984795808792114,0.8874360918998718,0.9082641303539276
nouns,low,bowl,10,1.0716846511780935,1.0498171274391077,1.0200957283680607,1.1207459244570266,0.9012751638889313,0.908379077911377,0.8896967619657516,0.9151381552219391
nouns,low,class,10,0.9977435225928349,0.9811606080205365,0.9686523028971583,1.0284256370261766,0.8967063963413239,0.8967971205711365,0.8959800004959106,0.9028840810060501
nouns,low,designer,10,1.0622194679572574,1.0480095906377735,1.0166000661721295,1.124733571800411,0.9040871798992157,0.9094544947147369,0.8968132883310318,0.9140568375587463
nouns,low,display,10,1.0406273289442045,1.046524088652428,1.0240715549138024,1.081892606550035,0.9034680247306823,0.9096046984195709,0.8921926915645599,0.9189551770687103
nouns,low,door,10,1.0713640424546003,1.0833468186441495,1.029521264109683,1.119648457203117,0.9021372854709625,0.9036361873149872,0.8982308954000473,0.912967175245285
verbs,high,attends,87,1.1066618652921765,1.117539364982211,1.074729858838701,1.1454332271543657,0.9062438751089161,0.9087991118431091,0.8974407911300659,0.9175954163074493
verbs,high,performs,83,1.0891558461363013,1.0911678819966744,1.0588523884130838,1.1211840527541108,0.9068619350352919,0.9097161293029785,0.9004079103469849,0.9147253632545471
verbs,high,looking,63,1.0600697191511823,1.063446758782498,1.017487015383319,1.105203300108673,0.8923753840582711,0.8975304365158081,0.8797827363014221,0.9090062975883484
verbs,high,sitting,52,1.0562258917117782,1.0638766315400086,1.0006486218428579,1.1115888774448806,0.899983137845993,0.9036900699138641,0.8879655450582504,0.9146176278591156
verbs,high,attend,43,1.0662064618485858,1.0671437385141642,1.0272032740469492,1.1103106699098158,0.9043183936629184,0.9057994484901428,0.8994406461715698,0.9153234362602234
verbs,low,driving,10,1.0755060111796007,1.0676814001855814,1.031780081421557,1.1277904736642181,0.9014330387115479,0.9025903642177582,0.897338479757309,0.9038068801164627
verbs,low,eating,10,1.0294586994037818,1.0186390218942618,0.9782490393114615,1.0613827528777677,0.9054515838623047,0.9120955765247345,0.8963695615530014,0.9202298671007156
verbs,low,filming,10,1.015727104925569,1.022422473763478,1.0030281372738166,1.0513501877722187,0.8980926871299744,0.9023274779319763,0.8856314569711685,0.9107969552278519
verbs,low,find,10,1.018589910432984,1.000101891026062,0.9828522343484777,1.0511048356042862,0.9024698793888092,0.905003696680069,0.8958443105220795,0.9152941107749939
verbs,low,performing,10,1.093394558479416,1.1042988597692118,1.0386376483660797,1.1447653225213692,0.8984582781791687,0.8952847719192505,0.8860443532466888,0.9147374480962753
adjectives,high,white,243,1.0877297205395868,1.0850213322316844,1.0325198826970896,1.1295463538521486,0.8936826959558966,0.8961402177810669,0.8830674290657043,0.9096043407917023
adjectives,high,young,102,1.058102844200839,1.060738424863862,1.0214923454772387,1.1004371129089736,0.897721130473941,0.9026660025119781,0.8917002379894257,0.9139546453952789
adjectives,high,black,95,1.0759381669877568,1.0702412476250287,1.031914573810225,1.1167891862705739,0.8942902426970633,0.9035149812698364,0.8823022544384003,0.9124653935432434
adjectives,high,red,91,1.0951416713512012,1.0964022756945295,1.0466084284883803,1.137037727546045,0.8939309218427637,0.8960478901863098,0.8832305073738098,0.910101443529129
adjectives,high,old,78,1.0596973046619642,1.04821207492847,1.0109584197400063,1.0955445009313651,0.9012343333317683,0.9042433202266693,0.8916097283363342,0.915155440568924
adjectives,low,autumn,10,1.1604678010803748,1.1589344996823634,1.1294802933684758,1.194088481924058,0.8881268382072449,0.8931398987770081,0.8734968602657318,0.9021567404270172
adjectives,low,cold,10,1.0311300439036226,1.0410741557265197,0.9735921844730758,1.0824019885001894,0.8972071349620819,0.9023224711418152,0.8882096856832504,0.9057626128196716
adjectives,low,elderly,10,1.0490938669521575,1.048847838964023,1.01350486965397,1.0929205874389119,0.8984918832778931,0.9018005430698395,0.886154979467392,0.9050991386175156
adjectives,low,flat,10,1.1063422074092122,1.121884192372295,1.0926780614348441,1.1640220739391856,0.8923189640045166,0.9044868648052216,0.870452418923378,0.9088096171617508
